         1970505 function calls (1955392 primitive calls) in 100.404 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      145    0.001    0.000    0.001    0.000 dataclasses.py:505(<dictcomp>)
       89    0.001    0.000    0.001    0.000 utils.py:61(reverse_dict)
      305    0.001    0.000    0.005    0.000 inspect.py:2865(replace)
        1    0.001    0.001    0.010    0.010 lapack.py:1(<module>)
      577    0.001    0.000    0.001    0.000 registration.py:71(__init__)
       29    0.001    0.000    0.002    0.000 typing.py:1060(__init_subclass__)
      829    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      573    0.001    0.000    0.002    0.000 registration.py:159(add)
     1001    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.001    0.001    0.001    0.001 allowed_functions.py:132(<listcomp>)
      151    0.001    0.000    0.001    0.000 enum.py:522(_check_for_existing_members)
      9/4    0.001    0.000    0.002    0.000 _config_module.py:29(visit)
      950    0.001    0.000    0.002    0.000 inspect.py:513(_is_wrapper)
        1    0.001    0.001    2.672    2.672 eval_frame.py:3(<module>)
       92    0.001    0.000    0.002    0.000 enum.py:938(__and__)
       65    0.001    0.000    0.001    0.000 posixpath.py:334(normpath)
      347    0.001    0.000    0.001    0.000 {built-in method unicodedata.lookup}
       89    0.001    0.000    0.001    0.000 conflict.py:67(<dictcomp>)
      104    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       45    0.001    0.000    0.069    0.002 tokenize.py:295(detect_encoding)
        1    0.001    0.001    2.062    2.062 output_graph.py:1(<module>)
        1    0.001    0.001    5.516    5.516 convert_frame.py:1(<module>)
      145    0.001    0.000    0.024    0.000 dataclasses.py:861(<listcomp>)
  421/353    0.001    0.000    0.002    0.000 {built-in method builtins.repr}
      198    0.001    0.000    0.004    0.000 inspect.py:2573(__str__)
       92    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      319    0.001    0.000    0.001    0.000 dataclasses.py:351(<listcomp>)
      518    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
      151    0.001    0.000    0.001    0.000 enum.py:68(__init__)
     1189    0.001    0.000    0.002    0.000 libintmath.py:91(python_bitcount)
       52    0.001    0.000    0.001    0.000 singleton.py:106(__getattr__)
     1189    0.001    0.000    0.001    0.000 {built-in method _bisect.bisect_right}
     1214    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     2208    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      693    0.001    0.000    0.001    0.000 dataclasses.py:468(_init_param)
     1164    0.001    0.000    0.001    0.000 dataclasses.py:603(_is_initvar)
      573    0.001    0.000    0.001    0.000 registration.py:76(set_base)
     2660    0.001    0.000    0.001    0.000 enum.py:753(value)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       93    0.001    0.000    0.001    0.000 sre_parse.py:224(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method posix.replace}
       38    0.001    0.000    0.004    0.000 symbol.py:332(__xnew__)
        1    0.001    0.001    2.192    2.192 polytools.py:1(<module>)
     1337    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     1159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
        2    0.001    0.000    0.927    0.464 numbers.py:1(<module>)
      169    0.001    0.000    0.001    0.000 iterables.py:585(sift)
     2605    0.001    0.000    0.001    0.000 {method 'span' of 're.Match' objects}
        1    0.001    0.001    0.001    0.001 allowed_functions.py:136(<listcomp>)
       12    0.001    0.000    0.003    0.000 _ops.py:806(__getattr__)
      480    0.001    0.000    0.001    0.000 facts.py:579(__init__)
